
通过最多 30 个跃点跟踪
到 ascelibrary.org [65.156.1.86] 的路由:

  1     1 ms     1 ms     1 ms  172.26.79.254 
  2    <1 毫秒   <1 毫秒   <1 毫秒 10.10.10.65 
  3    <1 毫秒   <1 毫秒   <1 毫秒 192.168.10.3 
  4     *        2 ms     1 ms  113.247.230.193 
  5     5 ms     3 ms     3 ms  222.247.28.101 
  6     8 ms     9 ms     5 ms  192.168.193.249 
  7     3 ms     3 ms     3 ms  61.137.6.201 
  8    11 ms    11 ms    11 ms  202.97.77.149 
  9    10 ms    11 ms    11 ms  202.97.91.98 
 10    11 ms    11 ms    11 ms  202.97.91.137 
 11   177 ms   175 ms   178 ms  202.97.58.226 
 12   172 ms   171 ms   172 ms  202.97.90.134 
 13   194 ms   175 ms   177 ms  218.30.54.142 
 14   183 ms   176 ms   176 ms  snj-edge-05.inet.qwest.net [67.14.34.186] 
 15   179 ms   179 ms   179 ms  198.233.122.226 
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。
