
通过最多 30 个跃点跟踪
到 www.cashl.edu.cn [222.29.81.240] 的路由:

  1     1 ms     1 ms     1 ms  172.26.79.254 
  2    <1 毫秒   <1 毫秒   <1 毫秒 10.10.10.65 
  3    <1 毫秒   <1 毫秒   <1 毫秒 192.168.10.3 
  4     *        2 ms     1 ms  113.247.230.193 
  5     2 ms     3 ms     3 ms  222.247.28.101 
  6     5 ms     7 ms     7 ms  192.168.193.249 
  7     2 ms     3 ms     3 ms  61.137.3.5 
  8    30 ms    29 ms    30 ms  202.97.69.169 
  9    26 ms    26 ms    26 ms  202.97.88.230 
 10     *       50 ms     *     101.4.117.109 
 11    50 ms    50 ms    51 ms  101.4.116.5 
 12    42 ms    43 ms    43 ms  101.4.117.50 
 13    43 ms    43 ms    43 ms  202.112.41.178 
 14     *        *        *     请求超时。
 15     *        *        *     请求超时。
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。
