
通过最多 30 个跃点跟踪
到 pqdt.lib.sjtu.edu.cn [202.121.183.68] 的路由:

  1     1 ms     1 ms     1 ms  172.26.79.254 
  2    <1 毫秒   <1 毫秒   <1 毫秒 10.10.10.65 
  3    <1 毫秒   <1 毫秒   <1 毫秒 192.168.10.3 
  4     *        2 ms     1 ms  113.247.230.193 
  5     1 ms     3 ms     3 ms  222.247.28.225 
  6     2 ms     7 ms     7 ms  192.168.193.253 
  7     1 ms    <1 毫秒    1 ms  61.137.3.245 
  8    19 ms    19 ms    19 ms  202.97.84.97 
  9    25 ms    23 ms    23 ms  202.97.84.81 
 10    25 ms    23 ms    23 ms  202.97.46.54 
 11    37 ms    37 ms    35 ms  202.97.17.42 
 12    31 ms    31 ms    32 ms  101.4.114.241 
 13    36 ms    37 ms    36 ms  101.4.115.173 
 14     *        *        *     请求超时。
 15     *        *        *     请求超时。
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。
