
通过最多 30 个跃点跟踪
到 ebook.worldlib.com.cn [122.114.236.111] 的路由:

  1     1 ms     1 ms     1 ms  172.26.79.254 
  2    <1 毫秒   <1 毫秒   <1 毫秒 10.10.10.65 
  3    <1 毫秒   <1 毫秒   <1 毫秒 192.168.10.3 
  4     *        2 ms     3 ms  113.247.230.193 
  5     2 ms     3 ms     3 ms  222.247.28.101 
  6     5 ms     7 ms     7 ms  192.168.193.249 
  7     2 ms     3 ms     3 ms  61.137.3.5 
  8    19 ms    15 ms    15 ms  202.97.56.105 
  9    28 ms     *       28 ms  202.97.67.186 
 10     *        *        *     请求超时。
 11    49 ms    25 ms    25 ms  222.85.75.210 
 12    77 ms    36 ms    36 ms  222.85.82.194 
 13    25 ms    25 ms    25 ms  219.147.63.218 
 14     *        *        *     请求超时。
 15    25 ms    25 ms    25 ms  122.114.236.111 
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。
