
通过最多 30 个跃点跟踪
到 epubs.siam.org [65.156.1.88] 的路由:

  1     1 ms     1 ms     1 ms  172.26.79.254 
  2    <1 毫秒   <1 毫秒   <1 毫秒 10.10.10.65 
  3    <1 毫秒   <1 毫秒    1 ms  192.168.10.3 
  4     *        2 ms     1 ms  113.247.230.193 
  5     3 ms     3 ms     3 ms  222.247.28.101 
  6     3 ms     7 ms     7 ms  192.168.193.253 
  7     3 ms     3 ms     3 ms  61.137.3.249 
  8    20 ms    19 ms    19 ms  202.97.71.229 
  9    15 ms     *       16 ms  202.97.94.134 
 10    30 ms    31 ms    31 ms  202.97.94.94 
 11   175 ms   175 ms   176 ms  202.97.51.94 
 12   178 ms   175 ms   175 ms  202.97.90.138 
 13   176 ms   175 ms   171 ms  218.30.54.142 
 14   183 ms   184 ms   183 ms  snj-edge-05.inet.qwest.net [67.14.34.186] 
 15   178 ms   178 ms   184 ms  198.233.122.226 
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。
