
通过最多 30 个跃点跟踪到 114.113.148.240 的路由

  1     1 ms     1 ms     1 ms  172.26.79.254 
  2    <1 毫秒   <1 毫秒   <1 毫秒 10.10.10.65 
  3    <1 毫秒   <1 毫秒   <1 毫秒 192.168.10.3 
  4     *        2 ms    11 ms  113.247.230.193 
  5     2 ms     3 ms     3 ms  222.247.28.225 
  6     5 ms     7 ms     8 ms  192.168.193.253 
  7     8 ms     7 ms     7 ms  61.137.6.213 
  8    37 ms    35 ms    35 ms  202.97.69.173 
  9     *        *       37 ms  bj141-158-118.bjtelecom.net [219.141.158.118] 
 10     *        *        *     请求超时。
 11    33 ms    34 ms    33 ms  bj141-147-82.bjtelecom.net [219.141.147.82] 
 12    30 ms    30 ms    30 ms  124.126.244.178 
 13     *        *        *     请求超时。
 14     *        *        *     请求超时。
 15     *        *        *     请求超时。
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。

跟踪完成。
